id,title,all_artists,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,speechiness
10iTEeb8hoM5jBGh0OxBOO,Cheat Codes for Hoes,TRAQULA,2018-05-23,0.715,0.55,10,-10.293,0,0.651,0.000292,0.172,0.824,116.669,141663,4,0.425
0zor3Hre5d5bgHGpbZHNw4,Sin City,Chrishan,2015-08-04,0.886,0.225,4,-11.437,1,0.676,0.0,0.0938,0.387,120.1,212000,4,0.457
1zW2csx1vVJrKfvDrFQNVt,Jump in the Line,Harry Belafonte,1961-07-21,0.594,0.889,5,-7.775,1,0.768,0.0,0.124,0.8,116.187,221704,4,0.246
5JboK5zbbhXIN7iN9NHS8t,Change Ya Life,Haiti Babii,2018-12-05,0.696,0.399,4,-8.673,0,0.0224,0.0,0.0747,0.364,98.004,156770,4,0.0369
1DZx0LEctNXUHQ9VQFKlgl,Two®,Lil Uzi Vert,2017-11-17,0.266,0.642,7,-5.133,1,0.424,0.0,0.0943,0.0371,75.022,185276,4,0.0694
5evSAk9q0l3TfF5dYDwDBO,Sauce It Up,Lil Uzi Vert,2017-11-17,0.813,0.528,6,-6.305,0,0.0715,0.0,0.125,0.131,79.532,207039,4,0.313
6fWcHP8ce2glR9MEUZE7Cs,444+222,Lil Uzi Vert,2017-11-17,0.791,0.513,10,-6.568,0,0.0235,2.83e-05,0.101,0.481,76.997,247347,4,0.269
0QsHgUWosVmZS49Hrsv5xC,Early 20 Rager,Lil Uzi Vert,2017-11-17,0.651,0.68,8,-6.057,0,0.0209,0.0,0.381,0.092,127.001,274880,4,0.0647
6nxvVPzS7gnyDthFNvTSxn,X,Lil Uzi Vert,2017-11-17,0.623,0.58,8,-7.076,1,0.0043,0.0,0.394,0.301,163.159,173798,4,0.332
0cGPqSBtm0UJLo1HCziww9,Dark Queen,Lil Uzi Vert,2017-11-17,0.747,0.606,4,-5.286,1,0.222,0.0,0.281,0.2,155.055,173419,4,0.172
4at3d5QWnlibMVN75ECDrp,Pretty Little Fears (feat. J. Cole),J. Cole,2018-09-14,0.61,0.458,9,-11.336,1,0.696,0.000103,0.0852,0.246,192.099,240342,4,0.36
3SqvR3HYLlCTYzbDXJ52OC,Lost on You,LP,2016-12-09,0.433,0.724,5,-6.126,0,0.1,0.0,0.0918,0.689,174.006,268105,4,0.0372
4a6q8CR2hzLk2plDkSxkfD,I.F.L.Y.,Bazzi,2019-08-09,0.812,0.519,2,-4.823,1,0.379,0.0,0.13,0.554,104.954,165714,4,0.0385
4cxMGhkinTocPSVVKWIw0d,Losin Control,Russ,2017-05-05,0.759,0.245,6,-6.545,1,0.515,0.000154,0.102,0.209,96.992,237507,4,0.138
6moU77g9RQyMzHNuKEaQKq,It's You,Ali Gatie,2019-06-14,0.732,0.463,11,-6.972,0,0.374,0.0,0.194,0.397,95.971,212607,4,0.0287
